brand,name,price
HP,892V3PA-AAAE [デスクトップパソコン/HP 24-cr0000 AiO G1モデル/23.8型/Core i5-1335U/メモリ 16GB/SSD 1TB/Windows 11 Home/シェルホワイト],"￥152,800"
デル DELL,AI557-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥164,800"
マウスコンピューター mouse computer,DGI5G1BYC25CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i5-13400F/メモリ 32GB/SSD 500GB/GeForce GTX 1650/Windows 11 Home],"￥179,800"
デル DELL,AI577T-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥174,800"
デル DELL,DX80-DNLC [XPS 8960 デスクトップ/Core i7-13700/GeForce RTX 3060 LHR/メモリ 16GB/SSD 512GB+HDD 2TB/Windows 11 Home/プラチナシルバー],"￥294,800"
エイサー Acer,RN96-F58Y [Revo Box/Core i5-1135G7/メモリ 8GB/512GB SSD/Windows 11 Home（64bit）/ブラック],"￥92,040"
デル DELL,AI557-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥164,800"
エイスース ASUS,PN53-S5097AD [超小型ミニパソコン/Ryzen 5 7535H/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥105,800"
デル DELL,AI537-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥129,800"
マウスコンピューター mouse computer,LHI7U01YC61DNHB3 [ビジネス向けデスクトップパソコン/Core i7-14700/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥169,800"
デル DELL,DA80-DWLBC [ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4060/メモリ 16GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック],"￥329,800"
ECS イーシーエス,LIVAQ3P-8/128-W10Pro（V1605B） [小型デスクトップパソコン/Ryzen Embedded V1605B/メモリ 8GB/eMMC 128GB/Windows 10 Pro],"￥88,680"
ECS イーシーエス,LIVAZ-4/64-W10（N3350） IOT [小型デスクトップパソコン/Celeron/メモリ 4GB/eMMC 64GB/Windows 10 IOT],"￥48,390"
